id,year,text_label,word,n
godhavn_2019,2019,Godhavn Boys speech 2019,undskyldning,5
greenlandic_children_speech_2022,2022,Greenlandic children speech 2022,undskyld,5
spiral_case_2025,2025,Spiral case speech 2025,undskyld,5
godhavn_2019,2019,Godhavn Boys speech 2019,undskyld,3
spiral_case_2025,2025,Spiral case speech 2025,undskyldning,2
greenlandic_children_letter_2020,2020,Greenlandic children letter 2020,undskyld,1
greenlandic_children_letter_2020,2020,Greenlandic children letter 2020,undskyldning,1
mindelunden_2005,2005,Occupation/refugees speech 2005,beklage,1
mindelunden_2005,2005,Occupation/refugees speech 2005,undskyldning,1
pnr_1999,1999,Thule/Inughuit declaration 1999,undskyldning,1
pnr_1999,1999,Thule/Inughuit declaration 1999,utoqqatserpugut,1
